Instruction;Timing;Opcode;Size
NOP;5;0;1
LD (BC),A;8;2;1
INC BC;7;3;1
INC B;5;4;1
DEC B;5;5;1
RLCA;5;7;1
EX AF,AF';5;8;1
ADD HL,BC;12;9;1
LD (DE),A;8;12;1
INC DE;7;13;1
INC D;5;14;1
DEC D;5;15;1
RLA;5;17;1
ADD HL,DE;12;19;1
INC HL;7;23;1
INC H;5;24;1
DEC H;5;25;1
DAA;5;27;1
ADD HL,HL;12;29;1
INC SP;7;33;1
INC (HL);12;34;1
DEC (HL);12;35;1
SCF;5;37;1
ADD HL,SP;12;39;1
LD B,(HL);8;46;1
LD D,(HL);8;56;1
LD H,(HL);8;66;1
HALT;5;76;1
ADD A,(HL);8;86;1
SUB (HL);8;96;1
LD BC,nn;11;1;3
LD B,n;8;6;2
LD A,(BC);8;0A;1
DEC BC;7;0B;1
INC C;5;0C;1
DEC C;5;0D;1
LD C,n;8;0E;2
RRCA;5;0F;1
DJNZ o;14/9;10;2
LD DE,nn;11;11;3
LD D,n;8;16;2
JR o;13;18;2
LD A,(DE);8;1A;1
DEC DE;7;1B;1
INC E;5;1C;1
DEC E;5;1D;1
LD E,n;8;1E;2
RRA;5;1F;1
JR NZ,o;13/8;20;2
LD HL,nn;11;21;3
LD (nn),HL;17;22;3
LD H,n;8;26;2
JR Z,o;13/8;28;2
LD HL,(nn);17;2A;5
DEC HL;7;2B;1
INC L;5;2C;1
DEC L;5;2D;2
LD L,n;8;2E;2
CPL;5;2F;1
JR NC,o;13/8;30;2
LD SP,nn;11;31;3
LD (nn),A;14;32;3
LD (HL),n;11;36;2
JR C,o;13/8;38;2
LD A,(nn);14;3A;3
DEC SP;7;3B;1
INC A;5;3C;1
DEC A;5;3D;1
LD A,n;8;3E;2
CCF;5;3F;1
LD B,r;5;40;1
LD C,r;5;48;1
LD C,(HL);8;4E;1
LD D,r;5;50;1
LD E,r;5;58;1
LD E,(HL);8;5E;1
LD H,r;5;60;1
LD L,r;5;68;1
LD L,(HL);8;6E;1
LD (HL),r;8;70;1
LD A,r;5;78;1
LD A,(HL);8;7E;1
ADD A,r;5;80;1
ADC A,r;5;88;1
ADC A,(HL);8;8E;1
SUB r;5;90;1
SBC A,r;5;98;1
SBC A,(HL);8;9E;1
AND r;5;A0;1
AND (HL);8;A6;1
XOR r;5;A8;1
XOR (HL);8;AE;1
OR r;5;B0;1
OR (HL);8;B6;1
CP r;5;B8;1
CP (HL);8;BE;1
RET NZ;12/6;C0;1
POP BC;11;C1;1
JP NZ,nn;11;C2;3
JP nn;11;C3;3
CALL NZ,nn;18/11;C4;3
PUSH BC;12;C5;1
ADD A,n;8;C6;2
RST 0;12;C7;1
RET Z;12/6;C8;1
RET;11;C9;1
JP Z,nn;11;CA;3
RLC r;10;CB 00;2
RLC (HL);17;CB 06;2
RRC r;10;CB 08;2
RRC (HL);17;CB 0E;2
RL r;10;CB 10;2
RL (HL);17;CB 16;2
RR r;10;CB 18;2
RR (HL);17;CB 1E;2
SLA r;10;CB 20;2
SLA (HL);17;CB 26;2
SRA r;10;CB 28;2
SRA (HL);17;CB 2E;2
SRL r;10;CB 38;2
SRL (HL);17;CB 3E;2
BIT b,r;10;CB 40;2
BIT b,(HL);14;CB 46;2
RES b,r;10;CB 80;2
RES b,(HL);17;CB 86;2
SET b,r;10;CB C0;2
SET b,(HL);17;CB C6;2
CALL Z,nn;18/11;CC;3
CALL nn;18;CD;3
ADC A,n;8;CE;2
RST 8H;12;CF;1
RET NC;12/6;D0;1
POP DE;11;D1;1
JP NC,nn;11;D2;3
OUT (n),A;12;D3;2
CALL NC,nn;18/11;D4;3
PUSH DE;12;D5;1
SUB n;8;D6;2
RST 10H;12;D7;1
RET C;12/6;D8;1
EXX;5;D9;1
JP C,nn;11;DA;3
IN A,(n);12;DB;2
CALL C,nn;18/11;DC;3
INC IXp;10;DD 04;2
DEC IXp;10;DD 05;2
ADD IX,BC;17;DD 09;2
ADD IX,DE;17;DD 19;2
LD IX,nn;16;DD 21;4
LD (nn),IX;22;DD 22;4
INC IX;12;DD 23;2
LD IXh,n;13;DD 26;2
ADD IX,IX;17;DD 29;2
LD IX,(nn);22;DD 2A;4
DEC IX;12;DD 2B;2
LD IXl,n;13;DD 2E;2
INC (IX+o);25;DD 34;3
DEC (IX+o);25;DD 35;3
LD (IX+o),n;21;DD 36;4
ADD IX,SP;17;DD 39;2
LD B,IXp;10;DD 40;2
LD B,(IX+o);21;DD 46;3
LD C,IXp;10;DD 48;2
LD C,(IX+o);21;DD 4E;3
LD D,IXp;10;DD 50;2
LD D,(IX+o);21;DD 56;3
LD E,IXp;10;DD 58;2
LD E,(IX+o);21;DD 5E;3
LD IXh,p;10;DD 60;2
LD H,(IX+o);21;DD 66;3
LD IXl,p;10;DD 68;2
LD L,(IX+o);21;DD 6E;3
LD (IX+o),r;21;DD 70;3
LD A,IXp;10;DD 78;2
LD A,(IX+o);21;DD 7E;3
ADD A,IXp;10;DD 80;2
ADD A,(IX+o);21;DD 86;3
ADC A,IXp;10;DD 88;2
ADC A,(IX+o);21;DD 8E;3
SUB IXp;10;DD 90;2
SUB (IX+o);21;DD 96;3
SBC A,IXp;10;DD 98;2
SBC A,(IX+o);21;DD 9E;3
AND IXp;10;DD A0;2
AND (IX+o);21;DD A6;3
XOR IXp;10;DD A8;2
XOR (IX+o);21;DD AE;3
OR IXp;10;DD B0;2
OR (IX+o);21;DD B6;3
CP IXp;10;DD B8;2
CP (IX+o);21;DD BE;3
RLC (IX+o);25;DD CB 06;4
RRC (IX+o);25;DD CB 0E;4
RL (IX+o);25;DD CB 16;4
RR (IX+o);25;DD CB 1E;4
SLA (IX+o);25;DD CB 26;4
SRA (IX+o);25;DD CB 2E;4
SRL (IX+o);25;DD CB 3E;4
BIT b,(IX+o);22;DD CB 46;4
RES b,(IX+o);25;DD CB 86;4
SET b,(IX+o);25;DD CB C6;4
POP IX;16;DD E1;2
EX (SP),IX;25;DD E3;2
PUSH IX;17;DD E5;2
JP (IX);10;DD E9;2
LD SP,IX;12;DD F9;2
SBC A,n;8;DE;2
RST 18H;12;DF;1
RET PO;12/6;E0;1
POP HL;11;E1;1
JP PO,nn;11;E2;3
EX (SP),HL;20;E3;1
CALL PO,nn;18/11;E4;3
PUSH HL;12;E5;1
AND n;8;E6;2
RST 20H;12;E7;1
RET PE;12/6;E8;1
JP (HL);5;E9;1
JP PE,nn;11;EA;3
EX DE,HL;5;EB;1
CALL PE,nn;18/11;EC;3
IN B,(C);14;ED 40;2
OUT (C),B;14;ED 41;2
SBC HL,BC;17;ED 42;2
LD (nn),BC;22;ED 43;4
NEG;10;ED 44;2
RETN;16;ED 45;2
IM 0;10;ED 46;2
LD I,A;11;ED 47;2
IN C,(C);14;ED 48;2
OUT (C),C;14;ED 49;2
ADC HL,BC;17;ED 4A;2
LD BC,(nn);22;ED 4B;4
RETI;16;ED 4D;2
LD R,A;11;ED 4F;2
IN D,(C);14;ED 50;2
OUT (C),D;14;ED 51;2
SBC HL,DE;17;ED 52;2
LD (nn),DE;22;ED 53;4
IM 1;10;ED 56;2
LD A,I;11;ED 57;2
IN E,(C);14;ED 58;2
OUT (C),E;14;ED 59;2
ADC HL,DE;17;ED 5A;2
LD DE,(nn);22;ED 5B;4
IM 2;10;ED 5E;2
LD A,R;11;ED 5F;2
IN H,(C);14;ED 60;2
OUT (C),H;14;ED 61;2
SBC HL,HL;17;ED 62;2
RRD;20;ED 67;2
IN L,(C);14;ED 68;2
OUT (C),L;14;ED 69;2
ADC HL,HL;17;ED 6A;2
RLD;20;ED 6F;2
IN F,(C);14;ED 70;3
SBC HL,SP;17;ED 72;2
LD (nn),SP;22;ED 73;4
IN A,(C);14;ED 78;2
OUT (C),A;14;ED 79;2
ADC HL,SP;17;ED 7A;2
LD SP,(nn);22;ED 7B;4
LDI;18;ED A0;2
CPI;18;ED A1;2
INI;18;ED A2;2
OUTI;18;ED A3;2
LDD;18;ED A8;2
CPD;18;ED A9;2
IND;18;ED AA;2
OUTD;18;ED AB;2
LDIR;23/18;ED B0;2
CPIR;23/18;ED B1;2
INIR;23/18;ED B2;2
OTIR;23/18;ED B3;2
LDDR;23/18;ED B8;2
CPDR;23/18;ED B9;2
INDR;23/18;ED BA;2
OTDR;23/18;ED BB;2
MULUB A,r;;ED C1;2
MULUW HL,BC;;ED C3;2
MULUW HL,SP;;ED F3;2
XOR n;8;EE;2
RST 28H;12;EF;1
RET P;12/6;F0;1
POP AF;11;F1;1
JP P,nn;11;F2;3
DI;5;F3;1
CALL P,nn;18/11;F4;3
PUSH AF;12;F5;1
OR n;8;F6;2
RST 30H;12;F7;1
RET M;12/6;F8;1
LD SP,HL;7;F9;1
JP M,nn;11;FA;3
EI;5;FB;1
CALL M,nn;18/11;FC;3
INC IYq;10;FD 04;2
DEC IYq;10;FD 05;2
ADD IY,BC;17;FD 09;2
ADD IY,DE;17;FD 19;2
LD IY,nn;16;FD 21;4
LD (nn),IY;22;FD 22;4
INC IY;12;FD 23;2
LD IYh,n;13;FD 26;2
ADD IY,IY;17;FD 29;2
LD IY,(nn);22;FD 2A;4
DEC IY;12;FD 2B;2
LD IYl,n;13;FD 2E;2
INC (IY+o);25;FD 34;3
DEC (IY+o);25;FD 35;3
LD (IY+o),n;21;FD 36;4
ADD IY,SP;17;FD 39;2
LD B,IYq;10;FD 40;2
LD B,(IY+o);21;FD 46;3
LD C,IYq;10;FD 48;2
LD C,(IY+o);21;FD 4E;3
LD D,IYq;10;FD 50;2
LD D,(IY+o);21;FD 56;3
LD E,IYq;10;FD 58;2
LD E,(IY+o);21;FD 5E;3
LD IYh,q;10;FD 60;2
LD H,(IY+o);21;FD 66;3
LD IYl,q;10;FD 68;2
LD L,(IY+o);21;FD 6E;3
LD (IY+o),r;21;FD 70;3
LD A,IYq;10;FD 78;2
LD A,(IY+o);21;FD 7E;3
ADD A,IYq;10;FD 80;2
ADD A,(IY+o);21;FD 86;3
ADC A,IYq;10;FD 88;2
ADC A,(IY+o);21;FD 8E;3
SUB IYq;10;FD 90;2
SUB (IY+o);21;FD 96;3
SBC A,IYq;10;FD 98;2
SBC A,(IY+o);21;FD 9E;3
AND IYq;10;FD A0;2
AND (IY+o);21;FD A6;3
XOR IYq;10;FD A8;2
XOR (IY+o);21;FD AE;3
OR IYq;10;FD B0;2
OR (IY+o);21;FD B6;3
CP IYq;10;FD B8;2
CP (IY+o);21;FD BE;3
RLC (IY+o);25;FD CB 06;4
RRC (IY+o);25;FD CB 0E;4
RL (IY+o);25;FD CB 16;4
RR (IY+o);25;FD CB 1E;4
SLA (IY+o);25;FD CB 26;4
SRA (IY+o);25;FD CB 2E;4
SRL (IY+o);25;FD CB 3E;4
BIT b,(IY+o);22;FD CB 46;4
RES b,(IY+o);25;FD CB 86;4
SET b,(IY+o);25;FD CB C6;4
POP IY;16;FD E1;2
EX (SP),IY;25;FD E3;2
PUSH IY;17;FD E5;2
JP (IY);10;FD E9;2
LD SP,IY;12;FD F9;2
CP n;8;FE;2
RST 38H;12;FF;1
